id,municipio,uf,nome_feira,categoria,dia_semana,horario_inicio,horario_fim,endereco,numero,bairro,referencia,subprefeitura,quantidade_feirantes,codigo_oficial,fonte_nome,fonte_url,status_validacao,observacoes
guarulhos-058a6ad7,Guarulhos,SP,Alvorada,Feira livre tradicional,Domingo,-,-,Avenida Santana do Mundaú,-,Bonsucesso,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-4e063c48,Guarulhos,SP,Recreio São Jorge II,Feira livre tradicional,Domingo,-,-,Rua Itororó,-,Cabuçu,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-3bc2296c,Guarulhos,SP,Cumbica,Feira livre tradicional,Domingo,-,-,Rua Juazeiro do Norte,-,Cumbica,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-8bcc6c50,Guarulhos,SP,Fortaleza,Feira livre tradicional,Domingo,-,-,Avenida dos Oleiros,-,Fortaleza,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-02db8cef,Guarulhos,SP,Jardim Jacy,Feira livre tradicional,Domingo,-,-,Rua Nova Europa,-,Itaim,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-6ba07524,Guarulhos,SP,Paulo Faccini,Feira livre tradicional,Domingo,-,-,Rua Tapajós,-,Macedo,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-d8d06a82,Guarulhos,SP,São João Batista,Feira livre tradicional,Domingo,-,-,Avenida Wilson Celestino,-,Morros,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-fe85e5fe,Guarulhos,SP,Jardim Valéria,Feira livre tradicional,Domingo,-,-,Rua Curió,-,Morros,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-39fbaae4,Guarulhos,SP,Picança,Feira livre tradicional,Domingo,-,-,Rua Anice,-,Picanço,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-92122b5f,Guarulhos,SP,Marcos Freire,Feira livre tradicional,Domingo,-,-,Avenida Norte-Sul,-,Pimentas,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-0f37d702,Guarulhos,SP,Nova Cidade,Feira livre tradicional,Domingo,-,-,Rua Assis Abude,-,Pimentas,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-0167fb22,Guarulhos,SP,Centenário,Feira livre tradicional,Domingo,-,-,Rua Barra de Santo Antônio,-,Pimentas,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-fdf2e51c,Guarulhos,SP,Vila Izabel,Feira livre tradicional,Domingo,-,-,Rua Eldridge Gastroat,-,Pimentas,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-e092dfd9,Guarulhos,SP,São Luiz,Feira livre tradicional,Domingo,-,-,Avenida Rio Real,-,Presidente Dutra,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-723d4c23,Guarulhos,SP,Santos Dumont,Feira livre tradicional,Domingo,-,-,Rua Luís Rossetti,-,Santos Dumont,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-041aff00,Guarulhos,SP,Lenize,Feira livre tradicional,Domingo,-,-,Avenida Aracati,-,São João,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-1bafab1b,Guarulhos,SP,Varejão São João,Feira livre tradicional,Domingo,-,-,Avenida Florianópolis,-,São João,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
guarulhos-b616df91,Guarulhos,SP,Soberana,Feira livre tradicional,Domingo,-,-,Rua Lagedão,-,São João,-,-,-,-,Guarulhos Todo Dia,https://guarulhostododia.com.br/guias/2024/04/16/informacoes-sobre-as-feiras-livres-de-guarulhos/,a_confirmar,"Lista pública local; confirmar com moradores, feirantes ou Prefeitura de Guarulhos."
